Team, CrossEntropyLoss, ROC-AUC, ExecutionTimeStamp
UCF-XR, 0.2882196307182312, 0.9563, 20200518T074801
UCF-XR, 0.3314684331417084, 0.95085, 20200607T060901
UCF-XR, 0.31488877534866333, 0.95755, 20200523T233601
UCF-XR, 0.4668900966644287, 0.9129, 20200515T081001
UCF-XR, 0.28781044483184814, 0.9552499999999999, 20200609T022301
UCF-XR, 0.49361783266067505, 0.9113499999999999, 20200606T055701
UCF-XR, 2.494452953338623, 0.6047655797800501, 20200513T161801
UCF-XR, 0.8393391966819763, 0.846, 20200530T225602
IceTorch, 0.32959598302841187, 0.9142000000000001, 20200610T042601
IceTorch, 2.7631027698516846, 0.0258, 20200529T114601
IceTorch, 0.35804131627082825, 0.8850000000000001, 20200529T002401
IceTorch, 0.2891130745410919, 0.932, 20200608T010801
IceTorch, 0.2916617691516876, 0.92755, 20200606T214502
IceTorch, 0.22665657103061676, 0.9498517786561265, 20200609T031701
IceTorch, 0.34705519676208496, 0.8899999999999999, 20200601T035101
TestTeam, 1.0195305347442627, 0.477, 20200513T161801
Cassandra, 0.1949499547481537, 0.97715, 20200610T211301
Cassandra, 0.16010671854019165, 0.9833499999999998, 20200609T125501
Cassandra, 0.33046698570251465, 0.94595, 20200607T053002
Cassandra, 0.33926132321357727, 0.94685, 20200606T033702
Cassandra, 0.33091968297958374, 0.9491499999999999, 20200605T014702
